text,label
barang sesuai pesanan dan cepat sampai,positif
barang bagus harga murah,positif
paket rapi.mantap.cepat.sampe ke tujuan,positif
ya saya puas dengan barangnya,positif
responya luar biasa b mantap,positif
"penjual top, pengiriman cepat barang oke",positif
pengiriman cepat penjual top,positif
produk sesuai dengan spec di web dan respon penjual sangat cepat. thankyou.,positif
"respon super cepat, pengiriman cepat, barang bagus sesuai deskripsi penjual.terima kasih gan",positif
"barang mantap, pelayanan cepat",positif
"sip,sesuai pic,deskripsi.cuma belum dicoba",positif
sayang produk yang datang di kemasan kurang rapi sehinga kebuka n isinya terhambur. saran kalauo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dengan yang lain supaya tidak tercecer. untuk kualitas barang seperinya bagus walau saya belum coba. terima ka ,netral
barang sesuai deskripsi.respon dan proses cepat. terima ka ,positif
mantap.,positif
super,positif
mantaps pokoknya bisa untuk langanan,positif
"berfungsi dengan baik, normal",positif
"cara memberikan nilai reputasi ke penjual untuk dapat memberikan nilai reputasi ke penjual, anda dapat melakukan langkah-langkah berikut ini:",positif
barang sesuai dengan deskripsi. pengiriman cepat gak pake lama. barang bagus. mantap dah pokoknya. terima kasih gan,positif
sesuai dengan deskripsi,positif
"bagus, packing aman pake bublewrap. tidak ada yang patah",positif
barang sesuai deskripsi,positif
cukup,positif
barang sudah sampai sesuai pesanan .,positif
terima kasihs,netral
barang bagus sesuai info fast response,positif
barang ok. pengiriman cepet.,positif
barang sudah saya terima gan terima kasih,positif
paket telah diterima baik. terima ka ,positif
"barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",positif
"barang sudah di terima, terima ka .",positif
barang sudah diterima .,positif
sip. udah sampe beberapa menit yang lalu. oke sesuai pesanan dan gambar. trimaka kerjasamanya.,positif
sesuai deskripsi barangnya,positif
produk sesuai pesanan tapi belum dcoba,positif
proses cepat dan mantap,positif
sesuai deskripsi barangnya,positif
bagus sesuai dengan deskripsi thnks.,positif
produk sesuai gambar dan deskripsi. produknya bagus dan harganya jg bagus. recomended produk,positif
penjual is god. produknya mantap. 5 stars ya,positif
"produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yang agak telat. terima kasih.",positif
"mahmurah mantap. barang sudah sampe, terima kasih sukses selalu",positif
produk diterima utuh tersegel. semoga awet,positif
"sesuai order, pengiriman cepat, respon cepat",positif
respon dan proses dari penjual cepat. barang sudah diterima stlh 2 hari. kualitas barang bagus. recomended penjual. terima kasih,positif
mantap. sesuai deskripsi. trimaka semoga barokah jualanya.,positif
"maka gan, barang sesuai",positif
pengiriman cepat. fast respon. barang sesuai. trims,positif
"produknya bagus, berkualitas, dan berfungsi dg baik",positif
barang diterima dg baikdanamp; lengkap,positif
great product danamp; great penjual,positif
"steplesnya sedikit lebih kecil dari staples khusu molar, sat ditembakan keluar 2 dan jadi menumpuk yang keluar. rekomenya mending cari isi yang khusus molar jk staplesnya merk molar",positif
sesuai dengan pesanan.,positif
produk berfungsi dengan baik,positif
"produk sesuai dengan deskripsi, tapi belum dicoba",positif
barang sesuai diskripsi dan layanan cepat,positif
"sudah diterima, terima ka ",positif
pesanan gx sesuai dengan yang d gambar,negatif
sudah diterima dengan baik dan bisa di pakai.,positif
packing rapi dan respon cepat. recomended.!,positif
barang sudah diterima dg baik. terima kasih,positif
"barang bagus, kualitas sesuai harga",netral
terima ka .,positif
